name,solved,type,objval,runtime,gap,Z1,Z2,Z3,Z4,Z5,SObjVal,SZ1,SZ2,SZ3,SZ4,SZ5
I3_N5_M3_T45_C100_DepLowerLeft_s3,True,P1,2081.9589239811535,0.0019998550415039062,0.0,23.652653681770268,8.265616796420925,6.571887095804371,1894.0,166.0,385.380388819194,41.38038881919396,0.0,0.0,344,0
I3_N5_M3_T45_C100_DepLowerLeft_s3,True,P2,2081.9589239811535,0.002000093460083008,0.0,23.652653681770268,8.265616796420925,6.571887095804371,1894.0,166.0,385.380388819194,41.38038881919396,0.0,0.0,344,0
I3_N5_M3_T45_C100_DepLowerLeft_s3,True,P3,2081.9589239811535,0.002000093460083008,0.0,23.652653681770268,8.265616796420925,6.571887095804371,1894.0,166.0,385.380388819194,41.38038881919396,0.0,0.0,344,0
I3_N5_M3_T45_C100_DepLowerLeft_s3,True,P4,2081.9589239811535,0.003000020980834961,0.0,23.652653681770268,8.265616796420925,6.571887095804371,1894.0,166.0,385.380388819194,41.38038881919396,0.0,0.0,344,0
I3_N5_M3_T45_C100_DepLowerLeft_s3,True,P5,2081.9589239811535,0.002000093460083008,0.0,23.652653681770268,8.265616796420925,6.571887095804371,1894.0,166.0,385.380388819194,41.38038881919396,0.0,0.0,344,0
I3_N5_M3_T45_C100_DepLowerLeft_s3,True,P6,595.9143940269121,0.005000114440917969,0.0,43.914394026912206,14.497775791770236,14.497775791770236,402.0,150.0,385.380388819194,41.38038881919396,0.0,0.0,344,0
I3_N5_M3_T45_C100_DepLowerLeft_s4,True,P1,2091.877568614677,0.003000020980834961,0.0,21.545497710166412,12.59438415895129,8.926455063461642,1990.0,84.0,455.8781981698167,45.87819816981671,0.0,0.0,256,154
I3_N5_M3_T45_C100_DepLowerLeft_s4,True,P2,2089.625192807319,0.003000020980834961,0.0,21.545497710166412,13.725751719013935,7.805446816166261,2000.0,74.0,455.8781981698167,45.87819816981671,0.0,0.0,256,154
I3_N5_M3_T45_C100_DepLowerLeft_s4,True,P3,2091.8775686146764,0.003000020980834961,0.0,21.545497710166412,12.59438415895129,8.926455063461642,1990.0,84.0,455.8781981698167,45.87819816981671,0.0,0.0,256,154
I3_N5_M3_T45_C100_DepLowerLeft_s4,True,P4,2089.625192807319,0.003000020980834961,0.0,21.545497710166412,13.725751719013935,7.805446816166261,2000.0,74.0,455.8781981698167,45.87819816981671,0.0,0.0,256,154
I3_N5_M3_T45_C100_DepLowerLeft_s4,True,P5,2089.625192807319,0.003000020980834961,0.0,21.545497710166412,13.725751719013935,7.805446816166261,2000.0,74.0,455.8781981698167,45.87819816981671,0.0,0.0,256,154
I3_N5_M3_T45_C100_DepLowerLeft_s4,True,P6,455.8781981698167,0.006000041961669922,0.0,45.878198169816706,14.59347554089123,14.59347554089123,186.0,224.0,455.8781981698167,45.87819816981671,0.0,0.0,256,154
I3_N5_M3_T45_C150_DepCentral_s0,True,P1,1317.4768663020777,0.006000041961669922,0.0,17.057683967537116,9.149584959638124,3.568767294178761,1094.0,212.0,19.8873981872152,19.8873981872152,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s0,True,P2,1318.7183522538169,0.006999969482421875,0.0,17.057683967537116,7.908099007898997,3.568767294178761,1306.0,0.0,19.8873981872152,19.8873981872152,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s0,True,P3,1318.7183522538169,0.006999969482421875,0.0,17.057683967537116,7.908099007898997,3.568767294178761,1306.0,0.0,19.8873981872152,19.8873981872152,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s0,True,P4,1318.7183522538169,0.006000041961669922,0.0,17.057683967537116,7.908099007898997,3.568767294178761,1306.0,0.0,19.8873981872152,19.8873981872152,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s0,True,P5,1318.7183522538169,0.006000041961669922,0.0,17.057683967537116,7.908099007898997,3.568767294178761,1306.0,0.0,19.8873981872152,19.8873981872152,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s0,True,P6,22.743084438116806,0.003000020980834961,0.0,22.743084438116806,0.0,0.0,0.0,0.0,19.8873981872152,19.8873981872152,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s1,True,P1,1330.6552696293431,0.003999948501586914,0.0,22.615466814517404,12.6804620082536,4.720264823079315,1166.0,150.0,28.64645279649577,28.64645279649577,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s1,True,P2,1333.400726831333,0.004999876022338867,0.0,22.615466814517404,9.935004806263807,4.720264823079315,1162.0,154.0,28.64645279649577,28.64645279649577,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s1,True,P3,1333.4007268313328,0.005000114440917969,0.0,22.615466814517404,9.935004806263807,4.720264823079315,1162.0,154.0,28.64645279649577,28.64645279649577,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s1,True,P4,1333.400726831333,0.006000041961669922,0.0,22.615466814517404,9.935004806263807,4.720264823079315,1162.0,154.0,28.64645279649577,28.64645279649577,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s1,True,P5,1333.400726831333,0.006000041961669922,0.0,22.615466814517404,9.935004806263807,4.720264823079315,1162.0,154.0,28.64645279649577,28.64645279649577,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s1,True,P6,35.68938030303868,0.0019998550415039062,0.0,35.68938030303869,0.0,0.0,0.0,0.0,28.64645279649577,28.64645279649577,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s2,True,P1,1787.7622944226478,0.003999948501586914,0.0,22.103100204745232,5.475316469592284,5.134510687494965,1528.0,238.0,29.7290434521012,29.7290434521012,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s2,True,P2,1776.6098271570875,0.003000020980834961,0.0,22.10310020474523,16.627783735152946,5.134510687494965,1458.0,308.0,29.7290434521012,29.7290434521012,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s2,True,P3,1776.609827157087,0.004999876022338867,0.0,22.10310020474523,16.627783735152946,5.134510687494965,1458.0,308.0,29.7290434521012,29.7290434521012,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s2,True,P4,1776.6098271570875,0.004000186920166016,0.0,22.10310020474523,16.627783735152946,5.134510687494965,1458.0,308.0,29.7290434521012,29.7290434521012,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s2,True,P5,1776.6098271570875,0.004000186920166016,0.0,22.10310020474523,16.627783735152946,5.134510687494965,1458.0,308.0,29.7290434521012,29.7290434521012,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s2,True,P6,29.7290434521012,0.003000020980834961,0.0,29.7290434521012,0.0,0.0,0.0,0.0,29.7290434521012,29.7290434521012,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s3,True,P1,1570.204899660161,0.006000041961669922,0.0,19.854852075869317,14.539788813789471,4.889836398081229,1396.0,164.0,26.1901829964691,26.1901829964691,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s3,True,P2,1570.204899660161,0.006000041961669922,0.0,19.854852075869317,14.539788813789471,4.889836398081229,1396.0,164.0,26.1901829964691,26.1901829964691,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s3,True,P3,1570.204899660161,0.005000114440917969,0.0,19.854852075869317,14.539788813789471,4.889836398081229,1396.0,164.0,26.1901829964691,26.1901829964691,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s3,True,P4,1570.204899660161,0.005000114440917969,0.0,19.854852075869317,14.539788813789471,4.889836398081229,1396.0,164.0,26.1901829964691,26.1901829964691,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s3,True,P5,1570.204899660161,0.005000114440917969,0.0,19.854852075869317,14.539788813789471,4.889836398081229,1396.0,164.0,26.1901829964691,26.1901829964691,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s3,True,P6,29.511817189403185,0.002000093460083008,0.0,29.511817189403185,0.0,0.0,0.0,0.0,26.1901829964691,26.1901829964691,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s4,True,P1,1586.3000790542244,0.003999948501586914,0.0,18.73569081392109,10.785899106527708,4.350287346831242,1356.0,218.0,28.51204269596068,28.51204269596069,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s4,True,P2,1586.3000790542244,0.004999876022338867,0.0,18.73569081392109,10.785899106527708,4.350287346831242,1356.0,218.0,28.51204269596068,28.51204269596069,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s4,True,P3,1589.136186453359,0.005000114440917969,0.0,18.73569081392109,7.949791707393387,4.350287346831242,1416.0,158.0,28.51204269596068,28.51204269596069,0.0,0.0,0,0
