name,solved,type,objval,runtime_p,gap_p,Z1_p,Z2_p,Z3_p,Z4_p,Z5_p,FixObjVal,FixGAP,FixZ1,FixZ2,FixZ3,FixZ4,FixZ5
I3_N5_M3_T30_C250_DepLowerLeft_s2,True,P1,27.21363927694955,0.039999961853027344,0.0,27.21363927694955,0.0,0.0,0.0,0.0,3779.0385646218283,0.0,27.21363927694955,12.148767615929348,11.973692960808458,2358.0,1394.0
I3_N5_M3_T30_C250_DepLowerLeft_s2,True,P2,10000059.618794307,0.0409998893737793,0.0,59.61879430827201,0.0,0.0,0.0,0.0,525.6187943082721,0.0,59.61879430827201,1.223864371570641,1.223864371570641,66.0,400.0
I3_N5_M3_T30_C250_DepLowerLeft_s2,True,P3,54.54549926315747,0.042999982833862305,0.0,54.54549926315746,0.0,0.0,0.0,0.0,598.5454992631575,0.0,54.54549926315746,0.0,0.0,14.0,530.0
I3_N5_M3_T30_C250_DepLowerLeft_s2,True,P4,108000058.36729153,0.18799996376037598,0.0,58.367291521215854,0.0,0.0,0.0,0.0,614.3672915212159,0.0,58.367291521215854,0.0,0.0,0.0,556.0
I3_N5_M3_T30_C250_DepLowerLeft_s2,True,P5,54.54549926315746,0.021000146865844727,0.0,54.54549926315746,0.0,0.0,0.0,0.0,514.5454992631575,0.0,54.54549926315746,0.0,0.0,60.0,400.0
I3_N5_M3_T30_C250_DepLowerLeft_s2,True,P6,0.9175956298660934,0.023000001907348633,0.0,0.9175956298660936,0.0,0.0,0.0,0.0,1164.8030322402315,0.0,56.80303224023129,0.0,0.0,2.0,1106.0
I3_N5_M3_T45_C200_DepCentral_s0,True,P1,17.057683967537116,0.02200007438659668,0.0,17.057683967537116,0.0,0.0,0.0,0.0,3209.5588502600713,0.0,17.057683967537116,8.778347248345364,3.279513540878831,3198.0,0.0
I3_N5_M3_T45_C200_DepCentral_s0,True,P2,22.77660271490709,0.0280001163482666,0.0,22.77660271490709,0.0,0.0,0.0,0.0,170.77660271490706,0.0,22.77660271490709,0.6698059420459035,0.6698059420459035,148.0,0.0
I3_N5_M3_T45_C200_DepCentral_s0,True,P3,21.917053834135594,0.0279998779296875,0.0,21.91705383413559,0.0,0.0,0.0,0.0,223.91705383413554,0.0,21.91705383413559,1.153995987379345,1.153995987379345,202.0,0.0
I3_N5_M3_T45_C200_DepCentral_s0,True,P4,26000025.455700167,0.039999961853027344,0.0,25.458554574494837,0.0,0.0,0.0,0.0,113.45855457449484,0.0,25.458554574494837,0.0,0.0,88.0,0.0
I3_N5_M3_T45_C200_DepCentral_s0,True,P5,21.917053834135594,0.019999980926513672,8.956595136727558e-05,21.91705383413559,0.0,0.0,0.0,0.0,223.9170538341356,0.0,21.91705383413559,0.48419004533344145,0.48419004533344145,202.0,0.0
I3_N5_M3_T45_C200_DepCentral_s0,True,P6,3.1602478102019997,0.02500009536743164,0.0,3.1602478102019997,0.0,0.0,0.0,0.0,436.7430844381168,0.0,22.743084438116806,3.568767294178761,3.568767294178761,306.0,108.0
I3_N5_M3_T45_C200_DepCentral_s1,True,P1,22.615466814517404,0.020999908447265625,0.0,22.615466814517404,0.0,0.0,0.0,0.0,3248.161787635471,0.0,22.615466814517404,13.178281252558198,4.724602073512089,2588.0,646.0
I3_N5_M3_T45_C200_DepCentral_s1,True,P2,38.45558590721694,0.031000137329101562,0.0,38.45558590721694,0.0,0.0,0.0,0.0,156.45558590721694,0.0,38.45558590721694,2.2543967792965875,2.2543967792965875,118.0,0.0
I3_N5_M3_T45_C200_DepCentral_s1,True,P3,28.646452796495765,0.03099989891052246,0.0,28.646452796495765,0.0,0.0,0.0,0.0,270.64645279649585,0.0,28.646452796495765,4.732363933900196,4.732363933900196,242.0,0.0
I3_N5_M3_T45_C200_DepCentral_s1,True,P4,72000034.6769265,0.08899998664855957,0.0,34.67692649873913,0.0,0.0,0.0,0.0,144.6769264987391,0.0,34.67692649873913,3.9046797813800547,3.9046797813800547,110.0,0.0
I3_N5_M3_T45_C200_DepCentral_s1,True,P5,28.646452796495765,0.023000001907348633,0.0,28.646452796495765,0.0,0.0,0.0,0.0,270.6464527964958,0.0,28.646452796495765,4.73670118433297,4.73670118433297,242.0,0.0
I3_N5_M3_T45_C200_DepCentral_s1,True,P6,1.6355256208373223,0.031000137329101562,0.0,1.6355256208373226,0.0,0.0,0.0,0.0,191.6893803030387,0.0,35.68938030303869,2.8451706451459113,2.8451706451459113,156.0,0.0
